"competition"	"K"	"diversity"	"stability"	"richness"	"biomass"
0.92	0.1	0.36672579134208927	-9.956845462341564	0.15	0.10563308185465217
1.0	0.1	0.48887610813125165	-7.733046492543669	0.35	0.1000005219189815
1.08	0.1	5.256296601440284e-34	-10.06414912633772	0.05	0.09999883902287056
0.92	0.17782794100389226	0.5981040045010373	-7.370771711453187	0.3	0.19052901508853265
1.0	0.17782794100389226	0.13817215126598012	-8.97337365143344	0.25	0.17782794381144565
1.08	0.17782794100389226	3.161836826526571e-33	-10.414250894853794	0.05	0.17782792613777237
0.92	0.31622776601683794	0.5372435736804843	-8.09530442064862	0.25	0.3378484155460288
1.0	0.31622776601683794	0.31032208246190335	-8.262200060869255	0.3	0.31622775480431126
1.08	0.31622776601683794	2.554183487579976e-39	-10.307995776836451	0.05	0.3162277743222875
0.92	0.5623413251903491	0.5917098233864426	-6.365431121904551	0.4	0.6025531120742883
1.0	0.5623413251903491	0.6187205941522597	-6.955169464468634	0.4	0.5623388589475454
1.08	0.5623413251903491	1.3365973557590692e-36	-10.129866947291784	0.05	0.5623413424712248
0.92	1.0	0.2723763593189624	-6.668928204101358	0.35	1.0354365548808553
1.0	1.0	0.5178705886169114	-5.433318151875062	0.39705	1.0000168905571842
1.08	1.0	0.07459407259988633	-8.834602543935524	0.26555	0.9650589514155055
0.92	1.7782794100389228	0.6346404235987342	-2.434837528295547	0.7	1.921455197203892
1.0	1.7782794100389228	0.04287400106954138	-7.571316248759397	0.35	1.7782931474357473
1.08	1.7782794100389228	2.041534001469527e-33	-9.56252213823589	0.05	1.7782998499122848
0.92	3.1622776601683795	0.5456478753407472	-5.198707771822258	0.5	3.3744677891755295
1.0	3.1622776601683795	0.4382596367205018	-3.6218248255379684	0.4513	2.087637510751844
1.08	3.1622776601683795	0.41226239271337684	-4.312589209538183	0.48674999999999996	2.792944810783853
1.08	5.623413251903491	6.831566645759209e-38	-10.429257394320798	0.05	5.623412782595786
1.0	10.0	0.21366593212652918	-7.993288631947176	0.35	9.999921790476392
0.92	0.1	0.36672579134208927	-9.846069792143663	0.15	0.10563308169162022
1.0	0.1	0.2081296592918206	-10.338419176657368	0.15	0.10000082640396442
1.08	0.1	1.0786322586091199e-29	-9.987430190796418	0.05	0.09999999325159055
0.92	0.17782794100389226	0.6495607487130102	-7.133246771488342	0.35	0.1909187089903765
1.0	0.17782794100389226	0.1434392275834972	-8.882380211079822	0.25	0.17782794530185475
1.08	0.17782794100389226	2.3722381912649464e-34	-9.696646220927398	0.05	0.17782792570166042
0.92	0.31622776601683794	0.6495607655663014	-7.206828518924387	0.35	0.33950683233293244
1.0	0.31622776601683794	0.24122501584526213	-7.988978099211633	0.3	0.31622777446367073
1.08	0.31622776601683794	2.527796755516083e-35	-9.557984588100448	0.05	0.3162277781149275
0.92	0.5623413251903491	0.5267437600110814	-4.951332911087606	0.4	0.6005455497768483
1.0	0.5623413251903491	0.43308713513788016	-6.85624281565495	0.4	0.5623413097125856
1.08	0.5623413251903491	1.6169545847580993e-31	-8.950838338640922	0.05	0.5623413468704649
0.92	1.0	0.5351707810780397	-6.462966611416118	0.4	1.068307024574456
1.0	1.0	0.25756410555831466	-8.347852404473022	0.3	1.0000063653566382
1.08	1.0	0.376879074169727	-5.66826238807024	0.30035	0.8858036086385268
0.92	1.7782794100389228	0.3858792755365896	-7.723375055763111	0.3209	1.876192254163888
1.0	1.7782794100389228	0.001201065503718256	-9.824207094588914	0.2	1.7782988626166503
1.08	1.7782794100389228	0.17795307170484764	-3.190368434130848	0.25785	1.7729429726869068
0.92	3.1622776601683795	0.4002420971868647	-3.8742362802549026	0.54	3.2685897120023832
1.0	3.1622776601683795	0.5063035166530515	-2.557030564655327	0.6186	2.538334560013722
1.08	3.1622776601683795	5.842549666319699e-40	-10.621145852578994	0.05	3.1622777565520868
0.92	5.623413251903491	0.21397103943805693	-5.999675487665563	0.5	5.767632608282425
1.0	5.623413251903491	0.00299717811671842	-7.37701545223874	0.4	5.623456607481058
0.92	10.0	0.0905525519416368	-9.957589435349705	0.24169999999999997	10.113559604960814
1.08	10.0	0.3302764775047131	-1.1190028550575541	0.384	4.451720256566352
0.92	0.1	0.5981040045001451	-8.044434080913721	0.3	0.10714232622565889
1.0	0.1	0.4445992710002298	-8.06474710281864	0.3	0.10000000006671941
1.08	0.1	9.163834642440604e-34	-10.126026524686253	0.05	0.09999883981762923
0.92	0.17782794100389226	0.46275642631951563	-9.199135666453616	0.2	0.18917755084291696
1.0	0.17782794100389226	0.18876525130158708	-8.490350387473713	0.3	0.17782907816800192
1.08	0.17782794100389226	9.686861040498389e-37	-10.166148085187677	0.05	0.17782999533590593
