"competition"	"connectance"	"diversity"	"stability"	"richness"	"biomass"
0.8	0.05	0.7255610195342154	-0.03895507859479909	0.5	1.2151569971620175
0.85	0.05	0.8294822176482279	-7.1001004218541384e-6	0.6	1.159416402650277
0.9	0.05	0.7550847578288272	-0.47057156710038844	0.6315000000000001	1.0987050115818076
0.95	0.05	0.7259789972931182	-0.2810730332264427	0.5	1.04617412430338
1.0	0.05	0.22757389332033384	-7.722526577720162e-6	0.55	1.0000000346185
1.05	0.05	1.995462706487481e-21	-3.313341319722085e-6	0.05	1.0000115075926195
1.1	0.05	2.4075927190480785e-39	-1.0994823795550168e-5	0.05	1.0000000307392032
1.15	0.05	8.057680556058453e-63	-1.0985151927175224e-5	0.05	1.0000000443396302
1.2	0.05	1.1065826542476092e-83	-3.3103266265303126e-6	0.05	0.999988493352477
0.8	0.1	0.7561467199688479	-0.1439897697923107	0.8	1.2202265675123092
0.85	0.1	0.658691542203121	-0.03751251111129552	0.75	1.147526693036023
0.9	0.1	0.7220824292518797	-0.24677850004188417	0.65	1.097109480164949
0.95	0.1	0.5989709512926886	-0.4494563195877795	0.43775000000000003	1.0436280375777929
1.0	0.1	0.24855502968021187	-6.496747965117499e-6	0.3	0.9999999545365342
1.05	0.1	8.800637299592259e-24	-3.3176647162342257e-6	0.05	1.0000115058713404
1.1	0.1	2.5579970781476997e-44	-1.0995767013880245e-5	0.05	0.9999999155284145
1.15	0.1	0.15432204448777995	-3.0879992016045565e-6	0.1	1.025813321091452
1.2	0.1	2.54791128050128e-84	-1.0982706757075005e-5	0.05	0.99999991632033
0.8	0.15	0.6849640295899968	-0.23476040661419761	0.63285	1.220329559526879
0.85	0.15	0.5322060262892041	-0.08714370402220803	0.45	1.1354461594793057
0.9	0.15	0.7238055439135994	-0.15577665086379994	0.7141	1.0982671105727997
0.95	0.15	0.49104329647392125	-0.022282571392232334	0.25	1.056350390373862
1.0	0.15	0.36900358695916186	-1.6627363534616015	0.50555	1.0066246743258649
1.05	0.15	7.550285864657226e-27	-1.0983480542183563e-5	0.05	1.0000000250242034
1.1	0.15	2.5274944878496037e-43	-1.0982500353324546e-5	0.05	1.000000026511611
1.15	0.15	0.0823962161272961	-1.327026805603805	0.1851	0.9553657884063814
1.2	0.15	0.11286414544462604	-1.558244290588527	0.20059999999999997	0.9513235703894531
0.8	0.2	0.609116408977677	-0.39168582165432736	0.6	1.2020984643378692
0.85	0.2	0.6032653314831515	-0.00388606020823973	0.49720000000000003	1.1499084919921647
0.9	0.2	0.38174067412723467	-0.006616200632936581	0.25	1.0619530080115194
0.95	0.2	0.4831542620381886	-0.5087523239842437	0.35	1.0599548237206147
1.0	0.2	0.5386395219718334	-0.057408297608175424	0.30369999999999997	0.9718900124371528
1.05	0.2	0.0027007604831156542	-0.04260086769228852	0.1	1.0003217293479016
1.1	0.2	0.09361429469445408	-1.711468483683943	0.22355	0.9601954928363327
1.15	0.2	0.23135553513383264	-0.14906934676196365	0.2	0.5781879676376409
1.2	0.2	7.220583162021113e-89	-3.31779868869964e-6	0.05	1.0000115051131409
0.8	0.25	0.4638039524866141	-0.5095955605379467	0.5	1.1726089135669442
0.85	0.25	0.290789105936166	-0.2701308932819535	0.37570000000000003	1.078399853344293
0.9	0.25	0.5407860943046915	-0.21968292206106005	0.4	1.107252354748513
0.95	0.25	0.33836679383589807	-0.8655340708057974	0.2	0.7163161610946878
1.0	0.25	0.3969409558183789	-0.9930652786300066	0.35	0.9931363767394722
1.05	0.25	0.19014462538157523	-1.475295789865335	0.2	1.0138543176614003
1.1	0.25	0.1458085032760756	-2.268220433179708	0.32189999999999996	0.9694503752291427
1.15	0.25	0.18445061162890122	-2.0940402996120726	0.18045	0.9385771037941542
1.2	0.25	0.15556303941516833	-1.7962545016526594	0.22879999999999998	0.9823269820721829
0.8	0.05	0.6765679545135856	-0.1369370732300796	0.65	1.2087516289441411
0.85	0.05	0.7639942457354497	-0.4815000834173537	0.7485	1.15583414985297
0.9	0.05	0.7685896776583422	-0.5032541886568832	0.50125	1.0988947862027176
0.95	0.05	0.5269451127375554	-4.143854602980068	0.357	1.0412906200142618
1.0	0.05	0.36600525978287096	-4.9848502156453695e-6	0.5	0.9999999705681221
1.05	0.05	4.150625304036756e-20	-3.3114932973593225e-6	0.05	1.0000115080807364
